question,source,question_id,subfield,cutoff_year,cutoff_date,control_subtype,txt_n_words,txt_n_entities,txt_n_numbers,txt_has_causal,txt_has_comparison,txt_has_mechanism,txt_has_measurable,txt_has_alternatives,txt_has_falsification,txt_is_yesno,txt_specificity,ev_top1_sim,ev_top5_mean_sim,ev_n_similar,ev_n_instruments,ev_tension_density,ev_age_mean,ev_age_std,ev_recency_share,ev_native_n_papers,ev_native_year_spread,ev_has_native_record,nov_nn_sim,nov_semantic_distance,nov_mean_top10_sim,nov_pair_doc_count,nov_new_pair,nov_review_overlap,fal_outcome_variable,fal_competing_rule,fal_quant_threshold,fal_named_dataset,tra_n_facilities_mentioned,tra_n_facilities_operational,tra_mentions_future_facility,tra_needs_new_instrument,tra_archival_data,tra_longitudinal,tra_needs_theory,tra_sample_scale,env_pub_volume_3y,env_pub_share_3y,env_growth_ratio,env_review_count_3y,env_years_to_next_facility,env_facility_within_3y,fal_observable,fal_competing_llm,fal_quant_test,fal_falsification_path,future_paper_count,future_paper_count_weak,first_follow_up_date,lead_time_months,review_recognition,addressed,answer_status,n_direct,n_adjacent,premise_status,confidence,judge_model,y_addressed
"What mechanisms drive atmospheric escape in exoplanets, particularly in relation to their mass, distance from their host stars, and stellar activity?",direct_llm,exoplanet_atmospheres-2012-012,exoplanet_atmospheres,2012,2012-12-31,,21,0,0,1,0,1,1,0,0,0,1,0.20696486297626182,0.1701730708998752,4,2,0.0,2.2,1.661324772583615,0.7,0,0,0,0.20696486297626182,0.7930351370237382,0.14438343008558457,0,1,0.022488458913572935,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,1,0,11,,,False,True,partially_addressed,4,4,intact,1.0,gpt-4o,1
"How do the presence of clouds and hazes affect the observable spectra of exoplanet atmospheres, and what are the best methods to detect and characterize them?",direct_llm,exoplanet_atmospheres-2012-013,exoplanet_atmospheres,2012,2012-12-31,,26,0,0,0,0,0,0,0,0,0,0,0.1750602336293332,0.15916162535956405,3,0,0.1,1.5,1.2041594578792296,0.8,0,0,0,0.1750602336293332,0.8249397663706668,0.1375976067855294,0,1,0.059060525075059545,0,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,1,13,2013-01-23,1.0,False,True,partially_addressed,7,1,intact,1.0,gpt-4o,1
What are the long-term stability and evolution of exoplanet atmospheres under varying stellar and environmental conditions?,direct_llm,exoplanet_atmospheres-2012-014,exoplanet_atmospheres,2012,2012-12-31,,16,0,0,0,0,0,0,0,0,0,0,0.13982924678504977,0.10624478525705912,0,1,0.0,2.4,0.9165151389911681,0.4,0,0,0,0.13982924678504977,0.8601707532149503,0.09540454382807924,0,1,0.08844329106394448,0,0,0,0,0,0,0,0,0,1,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,1,2,2014-08-05,20.0,False,True,partially_addressed,2,5,intact,0.9,gpt-4o,1
"What is the range of the dayside luminosity for WASP-12b, and how does it affect the predicted day/night effective temperature contrast?",future_work,exoplanet_atmospheres-2012-015,exoplanet_atmospheres,2012,2012-12-31,,21,1,0,0,0,0,1,0,0,0,2,0.2808278646885268,0.20043366287593503,7,2,0.1,1.2,0.9797958971132712,0.9,0,0,0,0.2808278646885268,0.7191721353114733,0.174868700209967,1,0,0.041403233265465786,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,1,1,4,18,2013-01-06,1.0,False,True,posed_but_open,1,7,intact,1.0,gpt-4o,1
"What is the age of the system, considering the conflicting results from stellar evolution models, gyrochronology, and lithium abundance?",future_work,exoplanet_atmospheres-2012-016,exoplanet_atmospheres,2012,2012-12-31,,19,0,0,0,0,0,1,0,0,0,1,0.22337118532504643,0.16274570921032344,3,5,0.0,1.8,0.9797958971132712,0.7,0,0,0,0.22337118532504643,0.7766288146749536,0.12066531216518553,1,0,0.026608806544493397,1,0,0,0,0,0,0,0,0,0,1,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,3,0,1,0,2,,,False,False,not_addressed,0,4,intact,1.0,gpt-4o,0
"What is the H2 density in the water-emitting region, and how does it relate to the H2O abundance relative to H2?",future_work,exoplanet_atmospheres-2012-017,exoplanet_atmospheres,2012,2012-12-31,,21,0,0,0,1,0,1,0,0,0,1,0.3776179157593671,0.2483069695479137,13,2,0.0,2.8,1.4696938456699067,0.5,0,0,0,0.3776179157593671,0.6223820842406329,0.2138729214059968,1,0,0.01551462103077575,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,1,1,3,13,2013-03-25,3.0,False,True,partially_addressed,3,2,intact,0.9,gpt-4o,1
What are the uncertainties in the details of the radiative forcing and frictional drag in hot-Jupiter circulation models?,future_work,exoplanet_atmospheres-2012-018,exoplanet_atmospheres,2012,2012-12-31,,18,0,0,0,0,0,0,0,0,0,0,0.3027495962322239,0.23389864574903588,7,0,0.0,1.3,1.4177446878757827,0.9,0,0,0,0.3027495962322239,0.697250403767776,0.1899206409073087,1,0,0.13904568422518923,0,0,0,0,0,0,0,0,0,0,1,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,1,4,2016-01-01,37.0,False,True,partially_addressed,1,7,intact,0.9,gpt-4o,1
What future observations are needed to constrain the orbital inclination of HAT-P-13c and its mutual inclination to HAT-P-13b?,future_work,exoplanet_atmospheres-2012-019,exoplanet_atmospheres,2012,2012-12-31,,18,1,0,0,0,0,0,0,0,0,1,0.3508248560446602,0.1834007425905408,2,3,0.0,1.7,1.1874342087037917,0.6,0,0,0,0.3508248560446602,0.6491751439553398,0.151718595066292,3,0,0.019098510466402478,0,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,2,9,2016-02-11,38.0,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
How might the capabilities of future telescopes like JWST and EChO to measure thermal phase curves of exoplanets influence the prevalence of false detections in exoplanet surveys?,control,exoplanet_atmospheres-2012-020,exoplanet_atmospheres,2012,2012-12-31,random_pair,27,0,0,0,0,0,0,0,0,0,0,0.2405000767572067,0.15956459923570565,3,4,0.2,1.7,1.6155494421403511,0.8,0,0,0,0.2405000767572067,0.7594999232427933,0.13239455164416256,0,1,0.05524920642717538,0,0,0,1,1,0,1,1,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,1,5,2014-01-15,13.0,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
In what ways does the temperature rise observed above the drop in sodium abundance at the 3mbar level correlate with the C/H and O/H ratios reported for WASP-12b?,control,exoplanet_atmospheres-2012-021,exoplanet_atmospheres,2012,2012-12-31,random_pair,28,1,0,0,0,0,1,0,0,0,2,0.22638948959188734,0.16003005398535525,2,3,0.1,1.9,1.57797338380595,0.7,0,0,0,0.22638948959188734,0.7736105104081127,0.13701281144850783,1,0,0.03696009082529843,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,0,1,,,False,True,posed_but_open,1,5,intact,0.9,gpt-4o,1
What is the nature of the atmospheric dynamics in exoplanets across various environments?,control,exoplanet_atmospheres-2012-022,exoplanet_atmospheres,2012,2012-12-31,vague,13,0,0,0,0,0,0,0,0,0,0,0.1392334526890856,0.13063005902789482,0,1,0.1,3.4,1.8547236990991407,0.3,0,0,0,0.1392334526890856,0.8607665473109144,0.11968902589860128,0,1,0.13678684495241922,0,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,0,0,0,0,0,4,,,False,True,partially_addressed,3,5,intact,1.0,gpt-4o,1
How might the calculated detection limits for minimum planetary mass and period inform our understanding of exoplanet formation theories?,control,exoplanet_atmospheres-2012-023,exoplanet_atmospheres,2012,2012-12-31,untestable,19,0,0,0,0,0,1,0,0,0,1,0.1369025473642323,0.11758667686654176,0,4,0.0,2.0,2.0,0.7,0,0,0,0.1369025473642323,0.8630974526357678,0.10355180264320074,0,1,0.06618690168841929,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,0,0,0,0,1,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
Could it be possible that the atmospheric composition of exoplanets is predominantly influenced by factors other than their metallicity?,control,exoplanet_atmospheres-2012-024,exoplanet_atmospheres,2012,2012-12-31,consensus_challenge,19,0,0,0,1,0,1,0,0,1,1,0.12134611565963356,0.10709070998205202,0,4,0.1,1.8,1.0770329614269007,0.8,0,0,0,0.12134611565963356,0.8786538843403664,0.09312726016678816,0,1,0.0422922771139497,1,0,0,0,0,0,0,0,0,0,0,0,332,0.008183790179451785,1.8603351955307263,2,6.0,0,1,1,0,1,0,0,,,False,False,not_addressed,0,0,not_applicable,0.9,auto_threshold,0
"What are the underlying reasons for the discrepancies between the gas and dust outer radii in protoplanetary disks, as indicated by millimeter observations, and how do these discrepancies relate to the photometric data and images of the debris disk around Vega?",evidence_tension,protoplanetary_disks-2012-000,protoplanetary_disks,2012,2012-12-31,,41,0,0,0,0,0,1,0,0,0,1,0.1782808895129563,0.1520756574179401,2,4,0.8,3.4,2.4979991993593593,0.3,4,4,1,0.1782808895129563,0.8217191104870437,0.13794355923040633,0,1,0.1008648737491564,1,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,6,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"What is the true distance of the star forming regions associated with the Li-depleted stars, and how does this distance affect the interpretation of their ages and the presence of crystalline silicates in protoplanetary disks?",evidence_tension,protoplanetary_disks-2012-001,protoplanetary_disks,2012,2012-12-31,,35,0,0,0,0,0,1,0,0,0,1,0.2608546765141468,0.185366543707747,4,2,0.2,3.1,2.0223748416156684,0.4,4,4,1,0.2608546765141468,0.7391453234858532,0.15954156951398735,2,0,0.14583631934032612,1,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,6,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
How do the inner disk sizes and mass accretion rates of young stellar objects (YSOs) compare to the predictions of magnetospheric accretion models and the standard model of inside-out collapse?,evidence_tension,protoplanetary_disks-2012-002,protoplanetary_disks,2012,2012-12-31,,30,0,0,0,1,0,1,0,0,0,1,0.3246157644359877,0.2307336891136244,14,3,0.2,3.7,2.2825424421026654,0.3,4,6,1,0.3246157644359877,0.6753842355640123,0.19743264232241706,2,0,0.13199990319066746,1,0,0,0,0,0,0,0,0,0,1,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,2,0,1,3,43,2013-04-29,4.0,False,True,partially_addressed,1,7,intact,0.9,gpt-4o,1
"What are the underlying mechanisms that determine the semi-major axes and eccentricities of extrasolar planets, given the discrepancies observed in their orbital elements compared to predictions from the core accretion model?",evidence_tension,protoplanetary_disks-2012-003,protoplanetary_disks,2012,2012-12-31,,31,0,0,1,1,1,0,0,0,0,0,0.2733026098238785,0.2048001883937119,11,1,0.2,3.7,2.1470910553583886,0.3,2,2,1,0.2733026098238785,0.7266973901761216,0.18019525308752585,0,1,0.03684931934859048,0,0,0,0,0,0,0,0,0,0,1,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,15,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
What is the relationship between the observed PAH emission brightness toward HD100546 and the classification of T Tauri stars versus Class I stars in edge-on disk orientations?,evidence_tension,protoplanetary_disks-2012-004,protoplanetary_disks,2012,2012-12-31,,27,1,0,0,1,0,0,0,0,0,1,0.22939552858009962,0.18086227108211925,5,3,0.2,3.8,1.98997487421324,0.2,4,4,1,0.22939552858009962,0.7706044714199004,0.15752818374886762,0,1,0.0894969020841107,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,8,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"What are the underlying physical processes that lead to the differences in temperature and evolutionary characteristics of debris disks around A stars compared to FGK stars, and how do these processes relate to the observed discrepancies in disk mass measurements and the population of misaligned hot Jupiters?",evidence_tension,protoplanetary_disks-2012-005,protoplanetary_disks,2012,2012-12-31,,47,0,0,1,1,1,1,0,0,0,1,0.17626856153756404,0.15815063439001056,3,2,0.3,2.5,1.91049731745428,0.6,4,7,1,0.17626856153756404,0.8237314384624359,0.14619147654968517,0,1,0.16573319949869436,1,0,0,0,0,0,0,0,0,0,0,1,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,12,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"What are the physical properties and size distribution of dust particles in protoplanetary disks around Herbig Ae/Be stars, and how do they affect the observed near-IR excess and spectral features, particularly in regions inward of 1 AU?",evidence_tension,protoplanetary_disks-2012-006,protoplanetary_disks,2012,2012-12-31,,37,0,1,0,1,0,0,0,0,0,1,0.2267062760659227,0.19804906049421314,25,3,0.2,4.7,2.368543856465402,0.2,4,7,1,0.2267062760659227,0.7732937239340774,0.18281027172081907,3,0,0.1740394071195376,0,0,1,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,4,50,2013-03-23,3.0,False,False,not_addressed,0,7,intact,0.9,gpt-4o,0
"How do the optically thick inner regions of protostellar disks influence the relationship between luminosity and interferometric inner radii, and what is their contribution to millimeter dust flux?",evidence_tension,protoplanetary_disks-2012-007,protoplanetary_disks,2012,2012-12-31,,28,0,0,0,0,0,1,0,0,0,1,0.19841506079626975,0.17599804022547386,7,2,0.4,4.3,2.4103941586387903,0.4,3,6,1,0.19841506079626975,0.8015849392037302,0.1631192377590765,0,1,0.1122280736625398,1,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,14,,,False,True,partially_addressed,1,7,intact,0.9,gpt-4o,1
"What are the physical properties and composition of the debris disks identified around the stars in the studies referenced, and how do they differ from the expected characteristics of stellar or substellar companions?",evidence_tension,protoplanetary_disks-2012-008,protoplanetary_disks,2012,2012-12-31,,33,0,0,0,0,0,0,0,0,0,0,0.127519922333928,0.12358335771331283,0,2,0.1,1.8,2.08806130178211,0.7,4,7,1,0.127519922333928,0.8724800776660719,0.1177333979340232,0,1,0.12266037645453172,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,13,,,False,False,not_addressed,0,8,intact,1.0,gpt-4o,0
"What are the physical characteristics and evolutionary status of BP Psc that contribute to its classification as a puzzling late-type, emission-line field star with large infrared excess, and how do these characteristics compare to the low mass stars (2.4 to 2.8 solar masses) discussed in the context of Hubrig et al.'s hypothesis?",evidence_tension,protoplanetary_disks-2012-009,protoplanetary_disks,2012,2012-12-31,,52,0,2,0,1,0,1,0,0,0,3,0.2847907508707727,0.17991598991952343,2,3,0.3,4.0,2.3664319132398464,0.2,3,6,1,0.2847907508707727,0.7152092491292272,0.1486290615899439,0,1,0.11484903369559554,1,0,1,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,1,5,2016-10-20,46.0,False,True,posed_but_open,1,7,intact,1.0,gpt-4o,1
What are the precise mechanisms and conditions that lead to the formation of planetesimals from dust in protoplanetary disks?,direct_llm,protoplanetary_disks-2012-010,protoplanetary_disks,2012,2012-12-31,,19,0,0,1,0,1,0,0,0,0,0,0.1472742341856907,0.1425019041064358,0,1,0.0,3.2,1.7204650534085253,0.3,0,0,0,0.1472742341856907,0.8527257658143093,0.13523479194248098,0,1,0.13734116020767115,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,16,,,False,True,partially_addressed,3,5,intact,0.9,gpt-4o,1
"How do the dynamics of gas and dust in protoplanetary disks influence the migration patterns of forming planets, particularly in the context of different disk environments?",direct_llm,protoplanetary_disks-2012-011,protoplanetary_disks,2012,2012-12-31,,26,0,0,0,1,0,0,0,0,0,0,0.18401366082215423,0.16537545279668656,4,3,0.0,2.8,2.1354156504062622,0.6,0,0,0,0.18401366082215423,0.8159863391778458,0.15311833508492761,0,1,0.091559657273442,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,11,,,False,True,partially_addressed,2,5,intact,0.9,gpt-4o,1
"What role do magnetic fields play in the evolution and stability of protoplanetary disks, and how do they affect planet formation processes?",direct_llm,protoplanetary_disks-2012-012,protoplanetary_disks,2012,2012-12-31,,22,0,0,0,0,1,0,0,0,0,0,0.20360851856331438,0.19435372643141793,31,0,0.0,3.4,1.7435595774162693,0.4,0,0,0,0.20360851856331438,0.7963914814366856,0.18410656386358618,3,0,0.10691291980178237,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,7,49,2014-02-09,14.0,False,True,partially_addressed,1,7,intact,0.9,gpt-4o,1
How does the presence of binary stars impact the formation and evolution of protoplanetary disks and the subsequent formation of planets within those systems?,direct_llm,protoplanetary_disks-2012-013,protoplanetary_disks,2012,2012-12-31,,24,0,0,0,0,0,0,0,0,0,0,0.22736515361269338,0.21810366749707338,41,2,0.0,2.7,1.4866068747318506,0.4,0,0,0,0.22736515361269338,0.7726348463873066,0.2031262178892706,1,0,0.16603525375007666,0,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,4,50,2015-01-04,25.0,False,True,partially_addressed,4,4,intact,1.0,gpt-4o,1
What are the effects of varying chemical compositions and temperature gradients within protoplanetary disks on the formation and diversity of planetary systems?,direct_llm,protoplanetary_disks-2012-014,protoplanetary_disks,2012,2012-12-31,,22,0,0,0,0,0,1,0,0,0,1,0.2039767348662013,0.1795503256234608,7,2,0.0,1.8,1.8330302779823362,0.8,0,0,0,0.2039767348662013,0.7960232651337987,0.16288230676857374,3,0,0.10413688201135847,1,0,0,0,0,0,0,0,0,0,0,0,1211,0.029851114178662985,1.388316151202749,26,2.0,1,1,0,0,0,0,20,,,False,True,partially_addressed,3,4,intact,1.0,gpt-4o,1
